zip_code,latitude,longitude
60002,42.4674,-88.09419
60004,42.11206,-87.97895
60005,42.06518,-87.98676
60007,42.01431,-87.99828
60008,42.0739,-88.0229
60010,42.15255,-88.16519
60012,42.27199,-88.31157
60013,42.22027,-88.23568
60014,42.23126,-88.32679
60015,42.17239,-87.87486
60016,42.05232,-87.8899
60018,41.99629,-87.89846
60020,42.39543,-88.17349
60021,42.19511,-88.21768
60022,42.13637,-87.7664
60025,42.07466,-87.81204
60026,42.09221,-87.83789
60029,42.05857,-87.78496
60030,42.33536,-88.04519
60031,42.37494,-87.94119
60033,42.42333,-88.61104
60034,42.45869,-88.42665
60035,42.18358,-87.8106
60040,42.20652,-87.81274
60041,42.36939,-88.15309
60042,42.27913,-88.19777
60043,42.08882,-87.71445
60044,42.2842,-87.86392
60045,42.23807,-87.87006
60046,42.41572,-88.06094
60047,42.20202,-88.04522
60048,42.29494,-87.9466
60050,42.32915,-88.29363
60051,42.35099,-88.22412
60053,42.04224,-87.78895
60056,42.06618,-87.93473
60060,42.26945,-88.03997
60061,42.2334,-87.96046
60062,42.12663,-87.84235
60064,42.3237,-87.86122
60067,42.10773,-88.06478
60068,42.01276,-87.84435
60069,42.19588,-87.92439
60070,42.10406,-87.92768
60071,42.46403,-88.30975
60072,42.40647,-88.30637
60073,42.3516,-88.10597
60074,42.13179,-88.02658
60075,42.49245,-87.91205
60076,42.03412,-87.72943
60077,42.03617,-87.75633
60081,42.45115,-88.22173
60083,42.43716,-87.94663
60084,42.26807,-88.13856
60085,42.35498,-87.86467
60087,42.40444,-87.85631
60088,42.30685,-87.85232
60089,42.16736,-87.96076
60090,42.13031,-87.92268
60091,42.07693,-87.72812
60093,42.10333,-87.75826
60096,42.48091,-87.82978
60097,42.39343,-88.36164
60098,42.32468,-88.45672
60099,42.46053,-87.86901
60101,41.931,-88.01072
60102,42.16406,-88.30928
60103,41.97816,-88.20511
60104,41.88256,-87.87646
60106,41.9611,-87.94194
60107,42.02148,-88.1783
60108,41.94905,-88.09232
60109,42.04448,-88.56261
60110,42.12296,-88.2883
60111,42.00721,-88.83114
60112,41.92391,-88.68994
60113,41.93142,-88.96421
60115,41.90109,-88.75469
60118,42.10793,-88.30614
60119,41.86154,-88.47702
60120,42.03317,-88.2374
60123,42.04011,-88.31166
60124,42.02621,-88.39691
60126,41.89627,-87.94194
60129,42.02963,-88.95371
60130,41.86704,-87.81795
60131,41.9378,-87.88304
60133,41.97805,-88.14291
60134,41.8784,-88.34189
60135,42.11265,-88.67867
60136,42.1053,-88.37808
60137,41.86539,-88.06225
60139,41.91916,-88.07735
60140,42.08003,-88.5086
60141,41.85834,-87.8379
60142,42.17517,-88.44486
60143,41.97351,-88.02071
60144,41.83507,-88.51984
60145,42.09396,-88.77719
60146,42.10091,-88.88019
60148,41.87505,-88.01859
60150,41.92106,-88.88982
60151,41.9172,-88.56613
60152,42.23882,-88.62597
60153,41.87984,-87.84389
60154,41.84923,-87.88986
60155,41.8578,-87.85631
60156,42.19121,-88.34788
60157,41.974,-88.05476
60160,41.90348,-87.86176
60162,41.86753,-87.90196
60163,41.88794,-87.90948
60164,41.91667,-87.90112
60165,41.90328,-87.88056
60169,42.05192,-88.11656
60171,41.92504,-87.83832
60172,41.97976,-88.08937
60173,42.05287,-88.0526
60174,41.92759,-88.29906
60175,41.94695,-88.3913
60176,41.9583,-87.8697
60177,41.98931,-88.30987
60178,42.00625,-88.67205
60180,42.22342,-88.52023
60181,41.87795,-87.97626
60183,41.94019,-88.40908
60184,41.95208,-88.25323
60185,41.89308,-88.21498
60187,41.87231,-88.1126
60188,41.91562,-88.12958
60189,41.83957,-88.12128
60190,41.87319,-88.1576
60191,41.9647,-87.98087
60192,42.07265,-88.16797
60193,42.01195,-88.09552
60194,42.03339,-88.11125
60195,42.06541,-88.08657
60201,42.05665,-87.69827
60202,42.03043,-87.68958
60203,42.04905,-87.71748
60208,42.05457,-87.67412
60301,41.88865,-87.79648
60302,41.8948,-87.78983
60304,41.87249,-87.78933
60305,41.89501,-87.81943
60401,41.34683,-87.61306
60402,41.83237,-87.78983
60403,41.56696,-88.12438
60404,41.50864,-88.22269
60406,41.65509,-87.68184
60407,41.23037,-88.26415
60408,41.26684,-88.21733
60409,41.61303,-87.55142
60410,41.42119,-88.2171
60411,41.50791,-87.59031
60415,41.70341,-87.77953
60416,41.29357,-88.28197
60417,41.43056,-87.59268
60418,41.64568,-87.74084
60419,41.62752,-87.59871
60420,41.08795,-88.42127
60421,41.40851,-88.08936
60422,41.53861,-87.68443
60423,41.47922,-87.83961
60424,41.16604,-88.32941
60425,41.54343,-87.61073
60426,41.61026,-87.65309
60428,41.5998,-87.69062
60429,41.5737,-87.68331
60430,41.5584,-87.66214
60431,41.53355,-88.20568
60432,41.54087,-88.0406
60433,41.49895,-88.04248
60435,41.54492,-88.1288
60436,41.48973,-88.12392
60437,41.16168,-88.54981
60438,41.56625,-87.55065
60439,41.67692,-87.97623
60440,41.70125,-88.07572
60441,41.59238,-88.05106
60442,41.39189,-87.96062
60443,41.50369,-87.74637
60444,41.24246,-88.40403
60445,41.62833,-87.73542
60446,41.63304,-88.09855
60447,41.48796,-88.32498
60448,41.53821,-87.89396
60449,41.41392,-87.76978
60450,41.37011,-88.43417
60451,41.50717,-87.96088
60452,41.60851,-87.75434
60453,41.71412,-87.75278
60455,41.74102,-87.8068
60456,41.73125,-87.73111
60457,41.72475,-87.82987
60458,41.74892,-87.83484
60459,41.74436,-87.76872
60460,40.9997,-88.53393
60461,41.51752,-87.69148
60462,41.62527,-87.83548
60463,41.66084,-87.79033
60464,41.67088,-87.86869
60465,41.69878,-87.8267
60466,41.47966,-87.68276
60467,41.59855,-87.88848
60468,41.33636,-87.80991
60469,41.62871,-87.68634
60470,41.16592,-88.63876
60471,41.48009,-87.72981
60472,41.6437,-87.70836
60473,41.59733,-87.60115
60474,41.1765,-88.26983
60475,41.47193,-87.6283
60476,41.5694,-87.60562
60477,41.57347,-87.78597
60478,41.55381,-87.73588
60479,41.23174,-88.52078
60480,41.71909,-87.87675
60481,41.28795,-88.12952
